,model,learning_rate,num_epoch,batch_size,accuracy,precision,recall,f1_score,loss
143,ComplexNN,0.0001,15,128,97.35,0.9735450584526543,0.9735,0.9734908083622397,1.4865091485001132
144,ComplexNN,0.001,2,16,67.55,0.7698537908214146,0.6755,0.6564453728426511,1.7349199349721274
145,ComplexNN,0.001,2,32,62.44,0.7231520092074782,0.6244,0.6054192759816543,1.7178562299728393
146,ComplexNN,0.001,2,64,90.58,0.9112482634321896,0.9058,0.9062196894384537,1.5756252435987184
147,ComplexNN,0.001,2,128,92.46,0.9252498897571572,0.9246,0.9247192206920197,1.6195671393164695
148,ComplexNN,0.001,5,16,42.93,0.46778356180509756,0.4293,0.34197624460279913,2.1072784752845766
149,ComplexNN,0.001,5,32,82.42,0.8509326201184689,0.8242,0.8219640117502187,1.7633522579828897
150,ComplexNN,0.001,5,64,84.89,0.8740101630227799,0.8489,0.8512740109641139,1.5743393432865265
151,ComplexNN,0.001,5,128,92.31,0.9264702076047472,0.9231,0.921822708642134,1.5378656560169863
152,ComplexNN,0.001,10,16,10.28,0.01056889688968897,0.1028,0.019167207762764125,2.356700646209717
153,ComplexNN,0.001,10,32,36.35,0.5480464688330697,0.3635,0.3382153402226185,2.0533158409754435
154,ComplexNN,0.001,10,64,83.05,0.8626817753275358,0.8305,0.8178091492508278,1.6495858482968833
155,ComplexNN,0.001,10,128,90.84,0.9157216529744313,0.9084,0.9085791962037596,1.541451999627705
156,ComplexNN,0.001,15,16,9.87,0.10541072750925648,0.0987,0.018894629030559704,2.3619506462097166
157,ComplexNN,0.001,15,32,31.44,0.2882769634129589,0.3144,0.21562409690203163,2.116343907992045
158,ComplexNN,0.001,15,64,80.83,0.8438573290927667,0.8083,0.8005014699714822,1.700915584813303
159,ComplexNN,0.001,15,128,87.19,0.9107568189003769,0.8719,0.8777245770626215,1.5595403843597053
160,ComplexNN,0.01,2,16,9.74,0.00948676,0.0974,0.017289520685256063,2.3636339795430503
161,ComplexNN,0.01,2,32,9.74,0.00948676,0.0974,0.017289520685256063,2.3636342178344725
162,ComplexNN,0.01,2,64,11.35,0.01288225,0.1135,0.023138302649304,2.3487774837754176
163,ComplexNN,0.01,2,128,11.35,0.01288225,0.1135,0.023138302649304,2.3487774837754176
164,ComplexNN,0.01,5,16,11.35,0.01288225,0.1135,0.023138302649304,2.3487839795430503
165,ComplexNN,0.01,5,32,9.8,0.009604000000000001,0.098,0.017493624772313296,2.362434217961629
166,ComplexNN,0.01,5,64,10.1,0.010201,0.101,0.018530426884650317,2.358972046675204
167,ComplexNN,0.01,5,128,10.28,0.01056784,0.1028,0.019165469713456656,2.3567232460355454
168,ComplexNN,0.01,10,16,10.1,0.010201,0.101,0.018530426884650317,2.3589673128763833
169,ComplexNN,0.01,10,32,10.09,0.01018081,0.1009,0.01849543101099101,2.362000884628296
170,ComplexNN,0.01,10,64,10.28,0.01056784,0.1028,0.019165469713456656,2.3567065882530294
171,ComplexNN,0.01,10,128,10.09,0.01018081,0.1009,0.01849543101099101,2.361998210329491
172,ComplexNN,0.01,15,16,10.09,0.01018081,0.1009,0.01849543101099101,2.362000646209717
